slug,title,url,target,order
home,Home,,,
example,,,,
example/nested,,,,
example/nested/sub,Demo Sub page,,,
example/nested--page,Demo sub pages,,,
example/nested/sub/page,Demo sub sub pages,,,
api,API get pages,/rf-api?topic=tree&get=pages&orderby=title&order=ASC&format=xml,,
api/count,API count pages XML,/rf-api?topic=tree&get=count-pages&orderby=title&order=ASC&format=xml,,
api/count,API count pages json,/rf-api?topic=tree&get=count-pages&orderby=title&order=ASC&format=json,,
api/count,API get pages csv,/rf-api?topic=tree&get=pages&orderby=title&order=ASC&format=csv,,
example,Target Blank to example,,_blank,
google,External Link to smrtr,http://smrtr.co.uk/,_blank,
sitemap,,,,
private-path,Example Private Path,/private/example.php,,
regex,We can regex,,,
regex/match-anything,I was picked up by a route,,,
regex/other,Route to routed/template.php,/this-should-route-to/routed/template.php,,
